"","D","mean.SST","sd.SST","N","se.SST","CL95.SST"
"454",54800000,23.2945260162426,1.04030586872135,21,0.227013351872495,0.390631614078131
"455",54950000,23.1384179142825,1.44856265358731,21,0.316102286140474,0.543930765438829
"456",55100000,22.9382773500347,1.49380017149531,21,0.325973921857871,0.560917312538685
"457",55250000,22.6117679688185,1.63279897916042,21,0.356305948411869,0.613110931959378
"458",55400000,22.1803758653314,1.40643396955283,20,0.3144881961785,0.542403529132311
"459",55550000,21.6892571001541,1.4656356821161,20,0.327726101546088,0.565235186017848
"460",55700000,20.9947765069877,1.48724188214414,20,0.332557394745903,0.573567805536469
"461",55850000,20.0414366927122,1.626258039409,20,0.363642352507405,0.627180599268154
"462",5.6e+07,18.9814425891675,1.25228269701726,20,0.280018923757737,0.482953746168014
"463",56150000,17.4557343743635,0.62981126724225,20,0.140830080654896,0.242892209257504
"464",56300000,18.7696184407464,0.948699540870473,20,0.212135666360922,0.365874253746839
"465",56450000,19.4735459067908,1.21532969311984,20,0.271755980888993,0.468702497862079
"466",56600000,20.3742410607887,1.47889594996032,20,0.330691187576041,0.570349123985537
"467",56750000,20.9754919667202,1.52421767796273,20,0.340825434043155,0.587827843745624
"468",56900000,21.4663379469132,1.56551467439484,20,0.350059723172032,0.603754390666604
"469",57050000,21.9138316604227,1.39026384611092,21,0.303380443369701,0.522039744780334
"470",57200000,22.1979293493473,1.27740123822001,21,0.278751803189215,0.479660186983856
"471",57350000,22.5445678825974,1.26873397337127,21,0.276860450939807,0.47640565602397
"472",57500000,22.6928109747652,1.27326533666163,21,0.277849275476921,0.478107168828335
"473",57650000,23.0666210234263,0.918291575014044,21,0.200387650121051,0.344815626756949
"474",57800000,22.9676951055292,0.699930609631325,21,0.15273738094534,0.262821764255768
"475",57950000,23.1638959483913,0.638641356639229,21,0.139362969463265,0.239807840618701
"476",58100000,23.0575679074818,1.14586185400445,21,0.250047556282753,0.430267557839001
"477",58250000,23.150954775492,0.67515214690183,21,0.147330277085218,0.253517528663697
"478",58400000,22.9017485747422,1.22972067827861,21,0.268347051993531,0.461756285208358
"479",58550000,22.8562228696902,0.921176100314031,22,0.196395404476619,0.337239263951159
"480",58700000,22.3935918943179,1.10855129174188,22,0.236343929516307,0.405836648987846
"481",58850000,21.8514707058495,1.28938845248986,22,0.274898541731491,0.472040484459562
"482",5.9e+07,21.5181616524362,1.64761537828902,22,0.351272778929739,0.603186076212115
"483",59150000,20.6777412790644,1.76001889545495,22,0.375237289310405,0.644336600397054
"484",59350000,19.0826003479291,1.60618916210385,22,0.342440679963158,0.588020087157682
"485",59550000,18.6208071507552,1.03469542281047,22,0.220597805353063,0.378798280462639
"486",59750000,18.2254008312819,0.775755870054901,22,0.165391707212775,0.28400143960956
"487",59950000,18.2546005493122,0.9589181959465,21,0.209253105628349,0.360070796401326
"488",60150000,20.091678625672,0.929198309384308,21,0.202767694684695,0.348911071548214
"489",60350000,20.5963237267558,1.04057517351652,21,0.227072118996727,0.390732737190072
"490",60550000,21.2590510704206,1.16474572885357,20,0.260445062621911,0.449194350782657
"491",60750000,21.8863513777158,1.08333023233239,20,0.242240004157587,0.417795754335797
"492",60950000,22.2586964297241,0.624804215544981,20,0.139710469858701,0.240961196092336
"493",61150000,22.5431939544479,0.512544880498902,20,0.114608519431505,0.197667404257658
"494",61350000,22.8176068117592,0.482275200625432,19,0.110641519079056,0.191313880956163
"495",61550000,22.5539548810102,0.476032329970487,19,0.109209306326293,0.188837394892281
"496",61750000,22.7989610515889,0.615275050479584,19,0.141153777238021,0.24407362769244
"497",61950000,22.9290705432308,1.15102876556092,18,0.271300081822968,0.47045159836157
"498",62150000,23.0832733246084,1.48630529523645,18,0.350325517725056,0.607486730756467
"499",62350000,23.2435438363286,1.67785419204803,18,0.395474025679812,0.685777115293892
"500",62550000,19.0977577329398,1.9177172276189,17,0.465114746443493,0.809116741309802
"501",62750000,18.7231876809231,1.5720215640419,17,0.381271232605495,0.663262000699452
"502",62950000,19.0497357387301,1.27934091663881,17,0.310285748851549,0.539775175707395
"503",63150000,19.255377153873,0.731148999316008,17,0.177329679543797,0.308483903267127
"504",63350000,18.0888254276825,0.69088681366254,17,0.167564665181005,0.291496618601393
"505",63550000,17.4878060131144,0.925154360603269,17,0.224382891104003,0.390337986580694
"506",63750000,20.0004012786795,0.833364172225478,17,0.202120500393593,0.351610181962353
"507",63950000,21.8491295197175,0.799869977199641,18,0.188531161648465,0.326925026127931
"508",64150000,21.9585578136327,0.793866233509051,18,0.187116065689758,0.324471159726066
"509",64350000,22.1031280582062,0.814823087047791,18,0.192055643439617,0.333036701734153
"510",64550000,22.1160115606573,0.720475012727839,18,0.16981758905844,0.294474500949773
"511",64750000,22.206370045733,0.561921518896561,18,0.132446172168801,0.229670086993719
"512",64950000,22.1106595239519,0.762744669624037,18,0.179780642735017,0.311751069741102
"513",65150000,22.0855645478918,0.874368435965342,18,0.206090616775523,0.357374238215796
"514",65350000,21.9537171885538,0.878097590079792,18,0.206969586829662,0.358898428197986
"515",65550000,21.819116031299,0.868704780341687,18,0.204755680342926,0.355059373530882
"516",65750000,21.6438352883893,0.828463839840678,19,0.190062639802273,0.328643546726477
"517",65950000,21.2664056842271,0.962429003019675,19,0.220796356026072,0.381786223869035
"518",66150000,20.9944600545529,0.997028297337743,19,0.228733978523455,0.39551142737473
"519",66350000,20.2444347911005,1.1548761290581,19,0.264946754677457,0.458128126818893
"520",66550000,19.7976214267253,1.28286604780161,19,0.294309655814033,0.508900482615606
"521",66750000,17.9224241808338,1.29087781241566,19,0.296147680672563,0.512078671706881
"522",66950000,18.0612724696928,0.971589367332454,19,0.22289788772741,0.38542005128827
"523",67150000,18.2414181178926,1.10316777649948,19,0.253084045027984,0.437615926330438
"524",67350000,22.0324531049488,1.27190276638384,20,0.28440610464043,0.490520397071387
"525",67550000,22.295022206785,1.36200581736332,20,0.304553759337454,0.525269424679414
"526",67750000,22.3127370153547,1.15290340496217,20,0.257797038498638,0.444627255269554
"527",67950000,22.2406012207335,1.08676651869952,20,0.243008381148292,0.419120988149108
"528",68150000,21.4602218707032,1.1093285658651,20,0.248053408265671,0.42782223845448
"529",68350000,21.7220283217258,1.08957412273748,20,0.24363618049657,0.420203765137976
"530",68550000,22.0006064866247,0.814446490639848,21,0.177726794897536,0.305822120959437
"531",68750000,22.2446724182136,0.656871918898601,21,0.143341204297321,0.246653359975122
"532",68950000,22.4653522078545,0.589214360470835,21,0.128577114638695,0.221248157478564
"533",69350000,22.6416644395988,0.830385401375938,21,0.181204950371025,0.31180713230532
"534",69550000,22.5514882322105,0.77701690033258,21,0.169558988668286,0.291767426358913
"535",69750000,22.7467080730187,0.399502509976162,22,0.0851742213127822,0.146256434969462
"536",69950000,22.728730060537,0.39138225534988,22,0.0834429772094688,0.143283638896778
"537",70150000,22.5718736119896,0.404558151692186,22,0.0862520877482758,0.148107287255503
"538",70350000,22.4925288199999,0.452644995072851,22,0.0965042372043137,0.165711708019244
"539",70550000,22.5281911033606,0.566143701758026,22,0.120702242775028,0.207263177156218
"540",70750000,22.5651154466729,0.754272406571458,22,0.160811417408305,0.276136420738784
"541",70950000,21.6630209021815,1.0643017651484,23,0.221922258939829,0.38034624097028
"542",71150000,20.1874255422683,1.06152101323846,23,0.22134243208469,0.379352492232234
"543",71350000,20.3668753302215,1.32066608529534,23,0.275377914940408,0.471962367786713
"544",71550000,18.8720607095651,0.645621949030494,23,0.13462148240448,0.230723925716138
"545",71750000,19.3266260688481,0.530328824244325,23,0.110581204044883,0.189521977116511
"546",71950000,19.2075235914004,0.757899926384889,23,0.158033059064045,0.270848360372635
"547",72150000,20.417304987958,1.00583448063118,23,0.209730987367213,0.359451967734941
"548",72550000,21.4297392286269,0.786113136933706,23,0.163915920130301,0.280930828455782
"549",72750000,22.1421707153545,0.855088131234351,23,0.17829820065149,0.305580209545118
"550",72950000,22.3203087365832,0.768214719581325,23,0.16018384212352,0.274534526220629
"551",73150000,22.4648182636927,0.789772162677079,23,0.1646788797392,0.282238443206295
"552",73350000,22.4996597294294,0.586830297650813,23,0.122362575665598,0.209713734495062
"553",73550000,22.5513674308805,0.441226574932915,23,0.0920021007385467,0.157679780948711
"554",73750000,22.6313212686403,0.4031262102673,23,0.0840576255249351,0.14406397107721
"555",73950000,22.7647791947944,0.347653915618697,23,0.0724908525098803,0.124240008138794
"556",74150000,22.6237068150503,0.49671694194469,23,0.103572642101819,0.177510202351843
"557",74350000,22.5372282327839,0.542782625550944,23,0.113178001127116,0.193972553699087
"558",74750000,22.3308457236856,0.800827111471977,23,0.166983995909599,0.286189116178891
"559",74950000,22.1999860241522,0.822271623484897,23,0.171455485766713,0.293852675331608
"560",75150000,22.0288269866911,0.762632881606791,23,0.159019948448898,0.27253976199037
"561",75350000,21.8566890668763,0.688305311879725,23,0.143521578798973,0.245977547520864
"562",75550000,21.4885983299693,1.03179371210849,23,0.215143861308076,0.368728938265472
"563",75750000,20.8137847703519,1.48888323638666,23,0.310453615634566,0.532077612522208
"564",75950000,20.0958822051898,0.911829962772552,23,0.190129690407203,0.325857862968266
