"","D","mean.day","sd.day","N","se.day","CL95.day"
"222",22300000,2369.48143547429,161.542315039046,18,38.0758888042277,66.0260130650274
"223",22400000,2377.98403232316,155.472301610035,17,37.7075718468271,65.5963456086994
"224",22500000,2403.10348222556,145.087536370071,17,35.1888963184969,61.2148407188156
"225",22600000,2403.36810582503,119.187354592914,17,28.9071795426194,50.2871239642005
"226",22700000,2217.74334052764,72.6197560710104,17,17.6128779286685,30.639480910251
"227",22800000,2243.44774650309,44.1402980327671,17,10.7055947726672,18.623524673166
"228",22900000,2251.36831999438,33.1879390342951,17,8.04925753735047,14.0025425518853
"229",2.3e+07,2253.39000236742,42.0149996633936,16,10.5037499158484,18.3383255177678
"230",23100000,2253.3496337574,59.1908424289223,17,14.3558879649258,24.9735992625651
"231",23200000,2257.92143487855,71.7653046879419,17,17.4056430284129,30.2789736838887
"232",23300000,2258.904057221,85.4413154866633,17,20.7225628554844,36.0491097249141
"233",23400000,2266.44809646838,101.800438020037,17,24.6902328641622,42.9512951588564
"234",23500000,2268.24944452595,115.277243233769,17,27.9588382401674,48.6373830558402
"235",23600000,2281.29742232178,128.117182774596,17,31.0729810021307,54.0547667505095
"236",23700000,2296.14557554233,137.851663795785,17,33.4339394410092,58.1619059307663
"237",23800000,2276.05916232557,142.20320942507,18,33.517617896986,58.1216813756761
"238",23900000,2290.73501964088,144.753814200106,18,34.1188012078374,59.1641714759294
"239",2.4e+07,2297.17362785533,142.587935570605,18,33.6082987191218,58.27892768916
"240",24100000,2283.44300811168,136.387373909578,18,32.1468123198959,55.7446173126959
"241",24200000,2239.05012237868,126.604690687676,18,29.8410117717604,51.7462124980552
"242",24300000,2252.56498446229,115.448086381466,18,27.2113749184482,47.1862549321063
"243",24400000,2278.5343333009,106.922917072251,18,25.201973242012,43.701824613922
"244",24500000,2226.38490998481,95.9023254625209,19,22.0015023758777,38.0435196608955
"245",24600000,2190.6694449833,80.7721086652854,19,18.5303925857192,32.0415098303394
"246",24700000,2150.34770756782,77.7476966417542,19,17.8365448818139,30.8417549993179
"247",24800000,2142.5832957641,51.3885882132081,19,11.7893506775052,20.385353083006
"248",24900000,2154.80108625983,56.2636451331704,19,12.9077654384591,22.3192407430612
"249",2.5e+07,2181.26294930243,61.4229973303527,20,13.7345997412457,23.6883147329415
"250",25100000,2251.51499883833,71.0865458548533,20,15.8954348817108,27.415146519646
"251",25200000,2346.99513059711,72.5144209555665,20,16.2147174605682,27.9658190080482
"252",25300000,2335.08765807147,75.4503479012234,19,17.3094969345484,29.9304191004561
"253",25400000,2339.80946268305,80.0158262363337,19,18.3568894972678,31.7414999471978
"254",25500000,2343.02274966083,87.0878424410638,19,19.9793212848205,34.5468999855104
"255",25600000,2347.24369990729,92.2234595192786,18,21.7372778701883,37.6938224616264
"256",25700000,2356.70463220877,98.7364829379057,18,23.2724122119677,40.3558430549747
"257",25800000,2379.32376582326,105.89053435524,18,24.9586383020192,43.279866350262
"258",25900000,2382.04322381949,112.115158767174,18,26.4257963460251,45.8240117195288
"259",2.6e+07,2391.90950141444,118.890318221387,18,28.0227167439231,48.5931732641889
"260",26100000,2397.74971812314,126.417874495175,18,29.7969787729094,51.6698564772575
"261",26200000,2405.0868829503,133.764163255171,18,31.5285156391586,54.6724515405367
"262",26300000,2415.27612868338,134.44860404243,18,31.6898398798225,54.9521980351372
"263",26400000,2417.93116783914,135.462150906724,18,31.9287351667534,55.3664576579966
"264",26500000,2411.27534823785,132.097425901332,18,31.1356618773731,53.9912181295018
"265",26600000,2445.01333499941,132.001957653266,17,32.0151773054544,55.6938177770545
"266",26700000,2488.8155208833,150.672780419446,17,36.5435169749926,63.5713479241356
"267",26800000,2509.19919618717,155.475416613484,17,37.7083273461357,65.5976598803782
"268",26900000,2606.81848866508,152.476463543891,17,36.9809743889472,64.3323517838226
"269",27050000,2607.18691698345,165.109524235176,16,41.277381058794,72.0655057899828
"270",27200000,2639.37150051176,172.531426286144,16,43.1328565715361,75.3049501994097
"271",27350000,2681.54479985194,132.566203636469,16,33.1415509091172,57.861292738706
