"","D","mean.d18O_mod","sd.d18O_mod","N","se.d18O_mod","CL95.d18O_mod"
"442",5.3e+07,-0.883335865414107,0.152942451850674,22,0.0326074402957472,0.055991682666782
"443",53150000,-0.739906529915115,0.176277168372406,22,0.0375824185741355,0.0645344386301803
"444",53300000,-0.620081208734013,0.297960641071228,22,0.0635254221221628,0.109082321227202
"445",53450000,-1.13099518646068,0.465112691931486,22,0.0991623591058792,0.170276087088934
"446",53600000,-1.50185570920568,0.435944536497169,22,0.0929436874725111,0.159597730077578
"447",53750000,-1.78140495496103,0.429619712844437,22,0.0915952305389256,0.157282234839977
"448",53900000,-1.76726516195344,0.389118760423477,21,0.0849126749508558,0.146112882780457
"449",54050000,-1.76944060468346,0.261537030633051,21,0.0570720590433305,0.0982063405476713
"450",54200000,-1.77005128860198,0.176159067390066,21,0.0384410600318003,0.0661471812262856
"451",54350000,-1.77130555868104,0.159376371809885,21,0.0347787756098201,0.0598453312990848
"452",54500000,-1.80509587905321,0.172745678862235,21,0.0376961975887011,0.0648654644637516
"453",54650000,-1.83664495876061,0.150509974906897,21,0.0328439691836553,0.0565160268729469
"454",54800000,-1.82085852908815,0.239701813069436,21,0.0523072239337546,0.0900072843497998
"455",54950000,-1.78488892034158,0.333770196679104,21,0.0728346281429662,0.125329669455951
"456",55100000,-1.7387735829573,0.344193587902146,21,0.0751091985847629,0.129243620400619
"457",55250000,-1.6635410066402,0.376220962940189,21,0.0820981447953615,0.14126979999064
