"","D","mean.GR","sd.GR","N","se.GR","CL95.GR"
"157",15800000,11061.7660475118,14811.4212440351,19,3397.97307436634,5875.54673555299
"158",15900000,10917.2693253773,15640.6712780294,20,3497.36041914023,6031.96131696024
"159",1.6e+07,2.68694894935522,16327.7881997633,20,3651.00443368896,6296.95395176802
"160",16100000,2.6869704207851,16657.4391370827,20,3724.71662415824,6424.08671139605
"161",16200000,2.6889234286256,17173.5036332482,20,3840.11215357825,6623.11148613825
"162",16300000,10906.7008532736,17916.0673331299,20,4006.15444463418,6909.48765461876
"163",16400000,12584.2801481815,18242.5087422462,20,4079.14896277966,7035.38263169749
"164",16500000,14138.2834516732,18253.54387568,20,4081.61649362954,7039.63842716925
"165",16600000,2.96869868808741,16750.6666031175,19,3842.86647157532,6644.82650629623
"166",16700000,15297.3479869997,15259.8122843139,19,3500.84103393288,6053.41909969374
"167",16800000,16132.2550059583,15849.9736618903,19,3636.23333947165,6287.53037762835
"168",16900000,3.66007452261984,16602.2433907447,19,3808.81585138538,6585.94846167315
"169",1.7e+07,18015.9279562643,18047.186255302,19,4140.30847905881,7159.14324096073
"170",17100000,16620.4478163543,15656.8559401554,19,3591.9290956164,6210.9224558886
"171",17200000,14780.9578005345,13312.8800564625,19,3054.1841480841,5281.09002288066
"172",17300000,24763.8477697529,11941.9810662652,19,2739.67835018557,4737.26772832061
"173",17400000,15699.6124252468,9639.1966874957,19,2211.38338198451,3823.77556464251
"174",17500000,19607.8231662618,9080.66609510218,19,2083.24767624139,3602.21191151464
"175",17600000,17043.2210440694,9264.55911322931,19,2125.4356279487,3675.16048306263
"176",17700000,12271.9925843583,9382.66807645595,19,2152.53168242403,3722.01315991869
"177",17800000,47246.5419852981,11499.4283647667,19,2638.14979739492,4561.711376384
"178",17900000,46262.7254540048,14965.5945700418,18,3527.4244683217,6116.77839560889
"179",1.8e+07,44303.3530518895,17162.2603773618,18,4045.18356444058,7014.60560118382
"180",18100000,42204.9577138917,17403.4686568433,18,4102.03690114048,7113.19290326989
"181",18200000,39943.1638776055,15106.0877308564,18,3560.53902389581,6174.20114127926
"182",18300000,37484.8328114641,16799.3830222521,18,3959.65255159487,6866.28938457093
"183",18400000,34787.4055218261,18201.4914173695,18,4290.13266964356,7439.36292998985
"184",18500000,31789.7534418835,18557.1597410252,18,4373.96449748031,7584.73265171778
"185",18600000,28395.4151577663,17395.2140597382,18,4100.09127394414,7109.81906195668
"186",18700000,24418.3622123179,16138.3159761986,18,3803.83755456707,6596.09626885981
"187",18800000,19495.9426862881,13679.5642017616,17,3317.78165389889,5771.63528077098
"188",18900000,12151.6889077394,11270.9711862918,17,2733.61204143377,4755.409893758
"189",1.9e+07,12038.7318086301,11572.2077015469,17,2806.67262794495,4882.50658146384
"190",19100000,11350.4277676782,10400.7468737795,17,2522.55164387679,4388.24780655979
